"Half","Symbol","Total Revenue","Cost of Revenue","Gross Profit","Operating Expenses","Research Development","Selling General and Administrative","Total Operating Expenses","Operating Income or Loss","Total Other Income/Expenses Net","Earnings Before Interest And Taxes","Interest Expense","Income Before Tax","Net Income From Continuing Ops","Cash And Cash Equivalents","Short Term Investments","Net Receivables","Inventory","Other Current Assets","Total Current Assets","Long Term Investments","Property Plant and Equipment","Goodwill","Intangible Assets","Accumulated Amortization","Other Assets","Total Assets","Accounts Payable","Short/Current Long Term Debt","Total Current Liabilities","Long Term Debt","Deferred Long Term Liability Charges","Total Liabilities","Common Stock","Retained Earnings","Total Stockholder Equity","Net Tangible Assets","Depreciation","Changes In Accounts Receivables","Changes In Liabilities","Changes In Inventories","Changes In Other Operating Activities","Total Cash Flow From Operating Activities","Capital Expenditures","Investments","Other Cash flows from Investing Activities","Total Cash Flows From Investing Activities","Dividends Paid","Sale Purchase of Stock","Net Borrowings","Total Cash Flows From Financing Activities","Effect Of Exchange Rate Changes","Change In Cash and Cash Equivalents","name","isin","treat","cnt","avg","shares","trades","turnover"
"1","TERB","102000","75000","27000","98000","0","0","98000","4000","0","4000","0","0","2000","7000","0","65000","24000","0","96000","5000","0","0","0","0","0","241000","57000","58000","92000","39000","0","141000","53000","46000","0","0","4000","0","0","1000","0","8000","-3000","0","0","-2000","0","0","0","-6000","0","0","TER BEKE","BE0003573814","0","130","54.85","415.4","7.58","22902.4"
"1","TEXF","5000","1000","4000","3000","0","0","3000","2000","0","2000","0","0","2000","7000","0","3000","5000","0","15000","0","0","0","0","0","0","108000","2000","5000","10000","2000","0","41000","8000","0","0","0","1000","0","0","0","0","2000","-2000","0","0","-1000","0","0","0","0","0","1000","TEXAF","BE0974263924","0","130","32.75","824.39","10.35","26797.61"
"1","TIG","1000","0","1000","5000","0","0","5000","-4000","0","-4000","0","0","-4000","16000","1000","2000","0","6000","24000","0","0","0","0","0","0","63000","2000","9000","6000","8000","0","15000","116000","-74000","0","0","0","0","0","0","-1000","-3000","0","0","0","-1000","0","0","0","10000","0","6000","TIGENIX","BE0003864817","0","129","0.35","2104355.36","203.58","786197.74"
"1","TUB","0","0","0","0","0","0","0","0","0","0","-2000","0","17000","0","0","0","0","0","1000","1804000","0","0","0","0","0","1805000","0","232000","58000","175000","0","253000","236000","1401000","0","0","0","0","0","0","-3000","-3000","0","0","0","0","0","0","0","-12000","0","-15000","TUBIZE-FIN","BE0003823409","0","130","40.07","8259.85","93.32","336305.21"
"1","UCB","877000","296000","581000","754000","0","0","754000","124000","0","124000","-30000","0","56000","740000","0","926000","627000","66000","2421000","79000","0","0","0","0","0","9907000","247000","2750000","2336000","2015000","0","5305000","2154000","2660000","0","0","59000","-41000","0","10000","-4000","133000","-60000","0","0","-62000","0","0","0","120000","-1000","190000","UCB","BE0003739530","0","130","45.81","213804.18","2013.58","9790665.73"
"1","UMI","2215000","2033000","182000","2138000","0","0","2138000","77000","0","77000","0","0","46000","99000","0","719000","1106000","36000","1961000","223000","0","0","0","0","0","3512000","711000","314000","1350000","26000","54000","1789000","503000","1647000","0","0","31000","35000","0","64000","-64000","138000","-79000","0","0","-98000","0","0","0","-48000","5000","-3000","UMICORE","BE0003884047","0","130","33.72","450402.32","3304.39","15130187.37"
"1","VAN","43000","10000","33000","35000","0","0","35000","7000","0","7000","-1000","0","6000","39000","0","18000","36000","0","96000","14000","0","0","0","0","0","197000","5000","0","15000","0","0","20000","3000","181000","0","0","2000","0","0","0","0","8000","-1000","0","0","-1000","0","0","0","0","0","6000","VAN DE VELDE","BE0003839561","0","130","35.47","5517.42","47.71","196251.63"
"1","VGP","4000","1000","4000","3000","0","0","3000","2000","0","2000","-1000","0","8000","79000","0","10000","0","0","89000","1000","0","0","0","0","0","366000","6000","171000","28000","160000","0","200000","113000","104000","0","0","0","0","0","0","0","5000","0","0","0","-40000","0","0","0","70000","0","36000","VGP","BE0003878957","0","130","18.78","132.29","1.74","2476.84"
"1","ZENT","17000","14000","3000","16000","0","0","16000","1000","0","1000","0","0","0","4000","0","16000","7000","1000","27000","0","0","0","0","0","0","38000","8000","9000","27000","3000","2000","31000","12000","-5000","0","0","0","-1000","0","0","0","2000","0","0","0","-2000","0","0","0","0","1000","1000","ZENITEL","BE0003806230","0","106","0.66","5167.76","3.53","3438.05"
"1","ZTS","54000","31000","23000","52000","0","0","52000","2000","0","2000","0","0","1000","11000","0","58000","14000","0","94000","3000","0","0","0","0","0","163000","29000","14000","80000","3000","0","86000","50000","3000","0","0","1000","0","0","0","-3000","0","-2000","0","0","-3000","0","0","0","3000","0","1000","ZETES INDUSTRIES","BE0003827442","0","130","16.77","3229.84","22.85","54075.53"
"2","ABI","12201000","4867000","7334000","8384000","0","0","8384000","3817000","0","3817000","-745000","0","3211000","8495000","0","6856000","3593000","114000","19408000","320000","0","0","0","0","0","149895000","10272000","55511000","26120000","47083000","0","92645000","19356000","32199000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AB INBEV","BE0003793107","0","126","77.1","1489702.05","10592.72","114593997.57"
"2","ABLX","11000","12000","-1000","15000","0","0","15000","-4000","0","-4000","-1000","0","-4000","12000","182000","3000","0","1000","197000","0","0","0","0","0","0","212000","9000","1000","171000","0","0","171000","236000","-201000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ABLYNX","BE0003877942","1","125","8.72","172886.57","552.44","1501266.45"
"2","ACKB","1071000","602000","469000","989000","0","0","989000","83000","0","83000","-26000","0","73000","618000","689000","2615000","146000","8000","4076000","1222000","0","0","0","0","0","11111000","1096000","1985000","5363000","1227000","0","7773000","114000","0","0","0","58000","-62000","0","-18000","-19000","27000","-35000","0","0","-28000","0","0","0","-76000","2000","-75000","ACKERMANS V.HAAREN","BE0003764785","0","126","88.31","33381.19","743.14","2937073.95"
