COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
BIL,19000,18000,2000,18000,0,0,18000,1000,1000,0,1000,0,0,1000,0,6000,0,29000,0,0,36000,0,0,0,0,0,0,96000,11000,0,24000,0,0,25000,38000,3000,0,0,0,0,0,0,0,-2000,-1000,0,0,0,0,0,0,0,0,0,-1000
CARD,0,2000,-2000,3000,0,0,3000,-3000,-3000,0,-3000,0,0,-3000,0,19000,3000,0,0,0,23000,0,0,0,0,0,0,32000,2000,0,3000,0,1000,15000,55000,-36000,0,0,0,0,0,0,0,0,-3000,0,0,0,-2000,0,0,0,12000,0,8000
SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,92000,89000,10000,212000,1000,0,0,0,0,0,364000,10000,175000,147000,82000,0,265000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLR,2126000,1596000,530000,1999000,0,0,1999000,127000,127000,0,127000,-2000,0,88000,0,615000,22000,550000,565000,2000,1754000,157000,0,0,0,0,0,3645000,1016000,31000,1678000,28000,0,1828000,249000,1822000,0,0,0,47000,-26000,0,-7000,0,117000,-62000,0,0,-59000,0,0,0,-3000,0,55000
WDP,24000,1000,23000,2000,0,0,2000,22000,22000,0,22000,-6000,0,15000,0,0,0,15000,0,14000,29000,0,0,0,0,0,0,1270000,0,706000,207000,521000,0,781000,281000,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TESB,415000,335000,80000,407000,0,0,407000,8000,8000,0,8000,-3000,0,-12000,0,35000,0,190000,262000,15000,503000,29000,0,0,0,0,0,1093000,270000,268000,433000,167000,0,821000,261000,0,0,0,0,18000,7000,0,-8000,-2000,9000,-23000,0,0,33000,0,0,0,-47000,-1000,-5000
KBCA,26000,1000,25000,1000,0,0,1000,25000,25000,0,25000,-7000,0,18000,0,0,0,0,0,0,0,2442000,0,0,0,0,0,2442000,0,380000,17000,375000,0,392000,2022000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCB,877000,296000,581000,754000,0,0,754000,124000,124000,0,124000,-30000,0,56000,0,740000,0,926000,627000,66000,2421000,79000,0,0,0,0,0,9907000,247000,2750000,2336000,2015000,0,5305000,2154000,2660000,0,0,0,59000,-41000,0,10000,-4000,133000,-60000,0,0,-62000,0,0,0,120000,-1000,190000
HAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,235000,13000,10000,379000,3000,0,0,0,0,0,516000,105000,178000,340000,89000,10000,448000,16000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,2000,2000,0,0,0,0,0,6000,0,0,0,0,0,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOBB,357000,246000,111000,329000,0,0,329000,29000,29000,0,29000,-1000,0,15000,0,14000,0,229000,21000,3000,279000,3000,0,0,0,0,0,1450000,352000,571000,493000,549000,0,1113000,132000,205000,0,0,0,42000,16000,0,4000,0,66000,-125000,0,0,-109000,0,0,0,44000,0,1000
BPOST,553000,438000,115000,484000,0,0,484000,69000,69000,0,69000,-5000,0,54000,0,631000,0,288000,8000,0,927000,351000,0,0,0,0,0,1994000,648000,95000,733000,86000,0,1278000,364000,235000,0,0,0,22000,2000,0,-1000,-4000,-7000,-9000,0,0,4000,0,0,0,0,0,-3000
FOY,157000,119000,38000,130000,0,0,130000,27000,27000,0,27000,0,0,17000,0,280000,0,70000,0,151000,513000,5174000,0,0,0,0,0,5806000,559000,68000,847000,1000,0,5042000,48000,113000,0,0,0,1000,12000,0,0,91000,10000,0,0,0,-3000,0,0,0,0,0,7000
TIG,1000,0,1000,5000,0,0,5000,-4000,-4000,0,-4000,0,0,-4000,0,16000,1000,2000,0,6000,24000,0,0,0,0,0,0,63000,2000,9000,6000,8000,0,15000,116000,-74000,0,0,0,0,0,0,0,-1000,-3000,0,0,0,-1000,0,0,0,10000,0,6000
CAMB,32000,27000,5000,33000,0,0,33000,-1000,-1000,0,-1000,0,0,-1000,0,1000,0,18000,24000,0,43000,0,0,0,0,0,0,55000,12000,18000,29000,2000,0,33000,4000,18000,0,0,0,1000,4000,0,0,0,4000,-1000,0,0,-1000,0,0,0,-3000,0,0
VAN,43000,10000,33000,35000,0,0,35000,7000,7000,0,7000,-1000,0,6000,0,39000,0,18000,36000,0,96000,14000,0,0,0,0,0,197000,5000,0,15000,0,0,20000,3000,181000,0,0,0,2000,0,0,0,0,8000,-1000,0,0,-1000,0,0,0,0,0,6000
WEHB,9000,0,8000,1000,0,0,1000,8000,8000,0,8000,0,0,8000,0,1000,0,4000,0,0,6000,17000,0,0,0,0,0,605000,5000,115000,10000,113000,0,125000,294000,185000,0,0,0,0,-2000,0,0,4000,9000,0,0,0,-8000,0,0,0,-5000,0,-4000
ENINV,5000,3000,2000,4000,0,0,4000,0,0,0,0,-1000,0,-1000,0,1000,0,3000,1000,0,5000,0,0,0,0,0,0,16000,2000,65000,70000,0,0,70000,24000,-79000,0,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,-1000,0,0
IMMOU,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,3000,0,0,0,0,0,25000,2000,1000,2000,0,0,2000,22000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTL,1269000,447000,822000,1113000,0,0,1113000,156000,156000,0,156000,-9000,0,126000,0,377000,0,1643000,29000,1075000,3124000,322000,0,0,0,0,0,7310000,2360000,832000,2955000,512000,0,3998000,192000,0,0,0,0,40000,0,0,0,4000,113000,-21000,0,0,61000,0,0,0,-106000,-1000,67000
THI,5000,3000,2000,5000,0,0,5000,0,0,0,0,0,0,-1000,0,1000,0,5000,0,1000,7000,0,0,0,0,0,0,19000,9000,4000,15000,2000,0,17000,5000,-4000,0,0,0,0,0,0,0,0,-1000,0,0,0,1000,0,0,0,0,0,0
ZENT,17000,14000,3000,16000,0,0,16000,1000,1000,0,1000,0,0,0,0,4000,0,16000,7000,1000,27000,0,0,0,0,0,0,38000,8000,9000,27000,3000,2000,31000,12000,-5000,0,0,0,0,-1000,0,0,0,2000,0,0,0,-2000,0,0,0,0,1000,1000
UMI,2215000,2033000,182000,2138000,0,0,2138000,77000,77000,0,77000,0,0,46000,0,99000,0,719000,1106000,36000,1961000,223000,0,0,0,0,0,3512000,711000,314000,1350000,26000,54000,1789000,503000,1647000,0,0,0,31000,35000,0,64000,-64000,138000,-79000,0,0,-98000,0,0,0,-48000,5000,-3000
BEFB,37000,6000,30000,10000,0,0,10000,27000,27000,0,27000,-7000,0,18000,0,2000,0,19000,0,6000,27000,15000,0,0,0,0,0,2249000,25000,994000,357000,724000,0,1084000,983000,144000,0,0,0,0,0,0,0,6000,29000,0,0,0,-14000,0,0,0,-15000,0,0
NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,3000,1000,0,0,0,0,0,7000,0,0,1000,0,0,2000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLX,4000,10000,-7000,12000,0,0,12000,-9000,-9000,0,-9000,0,0,-8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIO,713000,651000,62000,708000,0,0,708000,5000,5000,0,5000,-24000,0,-20000,0,102000,0,511000,766000,7000,1388000,32000,0,0,0,0,0,3333000,302000,1386000,1491000,226000,0,1960000,471000,97000,0,0,0,33000,6000,0,44000,-13000,56000,-39000,0,0,-18000,0,0,0,-33000,0,5000
ENGB,60000,55000,5000,60000,0,0,60000,0,0,0,0,0,0,0,0,3000,0,52000,35000,1000,91000,0,0,0,0,0,0,112000,33000,22000,59000,0,0,64000,3000,44000,0,0,0,1000,-4000,0,3000,0,2000,-1000,0,0,-1000,0,0,0,0,0,0
