quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
3	BANIMMO A	BE0003870871	BANI	1	63	8.187741378935762	2377.4285714285716	10.333333333333334	19419.84126984126
3	BARCO	BE0003790079	BAR	0	63	56.68847127855854	23994.88888888889	487.3809523809524	1354353.9393650796
3	BEFIMMO	BE0003678894	BEFB	0	63	53.6997721058092	26318.920634920636	402.968253968254	1416656.8115873013
3	LEASINVEST	BE0003770840	LEAS	0	63	81.09495160886823	1991.5714285714287	53.74603174603175	160896.22603174608
3	MDXHEALTH	BE0003844611	MDXH	1	63	4.232111520986785	80444.41269841269	163.71428571428572	342997.4728571428
3	MELEXIS	BE0165385973	MELE	1	63	29.633002471961834	32409.761904761905	354.6507936507937	966370.2019047618
3	MIKO	BE0003731453	MIKO	0	58	66.35312943411463	460.1551724137931	3.896551724137931	30565.259310344827
3	MOBISTAR	BE0003735496	MOBB	1	63	14.241959720813211	161114.60317460317	670.8571428571429	2280108.973492063
3	MONTEA C.V.A.	BE0003853703	MONT	1	63	31.300787175240004	3762.1111111111113	26.96825396825397	117588.650952381
3	NYRSTAR	BE0003876936	NYR	1	63	1.997767231256757	415960.0634920635	431.5079365079365	816545.1425396826
3	OIM	GB00B063YS85	OIM	1	62	0.6915322393396266	191961.01612903227	73.20967741935483	139625.18096774194
3	OPTION	BE0003836534	OPTI	1	63	0.45052705675589266	1109935.634920635	270.3968253968254	618586.3749206349
3	PICANOL	BE0003807246	PIC	1	63	27.983278961342627	1690.2698412698412	16.77777777777778	47263.411269841265
3	QRF	BE0974272040	QRF	1	62	24.440132785822954	1623.8870967741937	13.435483870967742	39475.697096774195
3	QUESTFOR GR-PRICAF	BE0003730448	QFG	1	62	7.498523556778713	5699.870967741936	17.693548387096776	42867.22241935485
3	REALDOLMEN	BE0003899193	REA	1	63	21.37275312786753	5472.587301587301	60.15873015873016	116454.6492063492
3	RECTICEL	BE0003656676	REC	1	63	7.115756168674071	35606.77777777778	107.92063492063492	256267.5325396825
3	RENTABILIWEB	BE0946620946	BIL	1	63	10.404195959181546	20855.95238095238	74.31746031746032	215413.77746031753
3	RETAIL ESTATES	BE0003720340	RET	0	63	60.007444185482186	2577.7936507936506	32.95238095238095	155069.64015873015
3	RHJ INTERNATIONAL	BE0003815322	RHJI	1	63	3.5734940921412157	74149.55555555556	128.4126984126984	266958.379047619
3	ROULARTA	BE0003741551	ROU	1	63	12.986392860263525	1560.7777777777778	13.317460317460318	20266.549682539677
3	RTL GROUP	LU0061462528	RTL	0	63	79.63818753113634	22971.14285714286	263.85714285714283	1804505.5755555553
3	SAPEC	BE0003625366	SAP	1	63	45.27978792436797	170.984126984127	4.603174603174603	7753.657142857143
3	GBL	BE0003797140	GBLB	0	63	75.11683758978191	88724.92063492064	1096.031746031746	6644942.971746032
3	GIMV	BE0003699130	GIMB	1	63	37.629895413967716	16420.88888888889	250.11111111111111	617025.2687301586
3	GLOBAL GRAPHICS	FR0004152221	GLOG	1	62	1.8175940312381749	11551.564516129032	12.32258064516129	21098.34822580645
3	GREENYARD FOODS	BE0003765790	GRYFO	1	63	12.300214965015366	2712.904761904762	15.444444444444445	33148.45142857143
3	HAMON	BE0003700144	HAMO	1	63	15.040079714093665	2791.4603174603176	20.904761904761905	42493.55126984128
3	HOME INV.BELG-SIFI	BE0003760742	HOMI	0	63	79.80465160357903	1064.6984126984128	18.238095238095237	84299.51603174602
3	IBA	BE0003766806	IBAB	1	63	10.664683420891748	60178.71428571428	195.82539682539684	625999.5819047622
3	IMMO MOURY	BE0003893139	IMMOU	0.6349206349206349	63	49.86315753341687	140.23809523809524	3.5396825396825395	6980.348730158729
3	IMMOBEL	BE0003599108	IMMO	1	63	40.655342866654806	1875.3174603174602	25.349206349206348	76151.33936507936
3	INTERVEST OFF-WARE	BE0003746600	INTO	1	63	22.227230810878243	5762.523809523809	76.65079365079364	128227.31888888887
3	JENSEN-GROUP	BE0003858751	JEN	1	61	14.202109002784162	3620.409836065574	18.21311475409836	51180.71885245901
3	KBC	BE0003565737	KBC	1	63	43.072697050159825	964913.6031746032	6439.492063492064	41329420.82746032
3	KBC ANCORA	BE0003867844	KBCA	1	63	25.725638529684733	44130.68253968254	388.0952380952381	1129582.8344444444
3	KEYWARE TECH.	BE0003880979	KEYW	1	63	0.7021834846429391	6122.079365079365	6.238095238095238	4294.141904761905
3	KINEPOLIS GROUP	BE0974274061	KIN	1	63	27.839775084477086	11473.095238095239	99.28571428571429	319992.4768253969
3	BEKAERT	BE0974258874	BEKB	1	63	28.32892916166952	58511.15873015873	626	1654773.8909523815
3	BELGACOM	BE0003810273	BELG	1	63	23.418815598952346	671977.5555555555	2674.5873015873017	15682942.532857146
3	BPOST	BE0974268972	BPOST	1	63	17.538565580407674	248390.87301587302	1020.9047619047619	4336546.398730158
3	BREDERODE	LU1068091351	BREB	1	63	28.506209428872157	7635.746031746032	47.42857142857143	216106.98285714287
3	CARDIO3 BIO	BE0974260896	CARD	1	63	38.849740076677286	13286.42857142857	210.68253968253967	547065.1688888889
3	CFE	BE0003883031	CFEB	0	63	78.59197320684258	13512.142857142857	269.6666666666667	1065137.2331746032
